case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,case:applicant_segment,case:channel,case:loan_amount_band,case:loan_purpose,case:region,cost:amount
case_0001,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,under_250k,purchase,northeast,0.0
case_0001,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,online,under_250k,purchase,northeast,0.0
case_0001,Document Collection,2025-01-03 10:57:22.777772-05:00,Priya Nair,complete,repeat_buyer,online,under_250k,purchase,northeast,129.29
case_0001,Initial Review,2025-01-06 09:00:00-05:00,Marcus Bell,complete,repeat_buyer,online,under_250k,purchase,northeast,166.54
case_0001,Underwriting,2025-01-08 09:00:00-05:00,Daniel Osei,complete,repeat_buyer,online,under_250k,purchase,northeast,141.27
case_0001,Declined,2025-01-13 09:00:00-05:00,,complete,repeat_buyer,online,under_250k,purchase,northeast,0.0
case_0002,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0002,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0002,Document Collection,2025-01-06 09:00:00-05:00,Marcus Bell,complete,first_time_buyer,online,500k_750k,refinance,midwest,61.86
case_0002,Initial Review,2025-01-10 09:00:00-05:00,Marcus Bell,complete,first_time_buyer,online,500k_750k,refinance,midwest,116.55
case_0002,Underwriting,2025-01-13 09:00:00-05:00,Rachel Greene,complete,first_time_buyer,online,500k_750k,refinance,midwest,108.24
case_0002,Request Additional Documents,2025-01-16 16:47:07.684638-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0002,Documents Received,2025-01-21 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0002,Underwriting,2025-01-27 09:00:00-05:00,Lena Kowalski,complete,first_time_buyer,online,500k_750k,refinance,midwest,87.23
case_0002,Property Appraisal,2025-01-31 09:00:00-05:00,Aisha Khan,complete,first_time_buyer,online,500k_750k,refinance,midwest,76.05
case_0002,Conditional Approval,2025-02-10 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0002,Clear to Close,2025-02-10 14:47:32.279125-05:00,Lena Kowalski,complete,first_time_buyer,online,500k_750k,refinance,midwest,121.34
case_0002,Loan Funded,2025-02-12 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0003,Application Submitted,2025-01-02 09:00:00-05:00,,complete,investor,online,250k_500k,purchase,midwest,0.0
case_0003,Credit Check,2025-01-03 09:00:00-05:00,,complete,investor,online,250k_500k,purchase,midwest,0.0
case_0003,Document Collection,2025-01-03 12:42:46.449305-05:00,Priya Nair,complete,investor,online,250k_500k,purchase,midwest,130.13
case_0003,Initial Review,2025-01-06 09:00:00-05:00,Priya Nair,complete,investor,online,250k_500k,purchase,midwest,167.74
case_0003,Underwriting,2025-01-07 09:00:00-05:00,Hiroshi Tanaka,complete,investor,online,250k_500k,purchase,midwest,119.26
case_0003,Property Appraisal,2025-01-14 09:00:00-05:00,Aisha Khan,complete,investor,online,250k_500k,purchase,midwest,169.08
case_0003,Conditional Approval,2025-01-23 09:00:00-05:00,,complete,investor,online,250k_500k,purchase,midwest,0.0
case_0003,Clear to Close,2025-01-23 15:02:42.189848-05:00,Hiroshi Tanaka,complete,investor,online,250k_500k,purchase,midwest,118.8
case_0003,Loan Funded,2025-01-27 09:00:00-05:00,,complete,investor,online,250k_500k,purchase,midwest,0.0
case_0004,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0004,Credit Check,2025-01-02 14:55:49.228938-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0004,Document Collection,2025-01-03 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,branch,500k_750k,purchase,south,102.15
case_0004,Initial Review,2025-01-07 09:00:00-05:00,Marcus Bell,complete,repeat_buyer,branch,500k_750k,purchase,south,105.43
case_0004,Underwriting,2025-01-08 09:01:38.823651-05:00,Lena Kowalski,complete,repeat_buyer,branch,500k_750k,purchase,south,174.63
case_0004,Request Additional Documents,2025-01-13 09:00:00-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0004,Documents Received,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0004,Underwriting,2025-01-30 09:00:00-05:00,Lena Kowalski,complete,repeat_buyer,branch,500k_750k,purchase,south,67.87
case_0004,Property Appraisal,2025-02-06 09:00:00-05:00,Aisha Khan,complete,repeat_buyer,branch,500k_750k,purchase,south,112.33
case_0004,Conditional Approval,2025-02-11 09:00:00-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0004,Clear to Close,2025-02-11 15:06:34.262941-05:00,Rachel Greene,complete,repeat_buyer,branch,500k_750k,purchase,south,200.81
case_0004,Loan Funded,2025-02-18 09:00:00-05:00,,complete,repeat_buyer,branch,500k_750k,purchase,south,0.0
case_0005,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,250k_500k,refinance,west,0.0
case_0005,Credit Check,2025-01-02 15:50:41.216849-05:00,,complete,first_time_buyer,online,250k_500k,refinance,west,0.0
case_0005,Document Collection,2025-01-03 09:00:00-05:00,Sofia Romano,complete,first_time_buyer,online,250k_500k,refinance,west,129.75
case_0005,Initial Review,2025-01-06 09:00:00-05:00,Priya Nair,complete,first_time_buyer,online,250k_500k,refinance,west,108.16
case_0005,Underwriting,2025-01-08 16:30:55.306755-05:00,Lena Kowalski,complete,first_time_buyer,online,250k_500k,refinance,west,129.19
case_0005,Property Appraisal,2025-01-13 09:00:00-05:00,Aisha Khan,complete,first_time_buyer,online,250k_500k,refinance,west,95.68
case_0005,Declined,2025-01-21 09:00:00-05:00,,complete,first_time_buyer,online,250k_500k,refinance,west,0.0
case_0006,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,west,0.0
case_0006,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,west,0.0
case_0006,Document Collection,2025-01-03 13:03:50.387729-05:00,Sofia Romano,complete,repeat_buyer,online,500k_750k,purchase,west,45.51
case_0006,Initial Review,2025-01-06 09:17:55.036432-05:00,Sofia Romano,complete,repeat_buyer,online,500k_750k,purchase,west,147.81
case_0006,Underwriting,2025-01-10 09:00:00-05:00,Daniel Osei,complete,repeat_buyer,online,500k_750k,purchase,west,92.37
case_0006,Property Appraisal,2025-01-13 12:48:42.426581-05:00,Diego Morales,complete,repeat_buyer,online,500k_750k,purchase,west,122.5
case_0006,Conditional Approval,2025-01-16 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,west,0.0
case_0006,Clear to Close,2025-01-16 12:57:39.788647-05:00,Lena Kowalski,complete,repeat_buyer,online,500k_750k,purchase,west,60.19
case_0006,Loan Funded,2025-01-17 11:39:48.893150-05:00,,complete,repeat_buyer,online,500k_750k,purchase,west,0.0
case_0007,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,refinance,south,0.0
case_0007,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,refinance,south,0.0
